Pays,1990,2000,2013,energie2013,agriculture2013,processind2013
Allemagne,1 260,1 064,976,813,64,61
Autriche,80,82,82,55,7,16
Belgique,150,154,123,88,10,20
Bulgarie,110,60,56,41,6,4
Chypre,6,9,9,6,1,1
Croatie,35,27,25,18,2,3
Danemark,71,72,57,41,10,2
Espagne,296,400,335,240,39,27
Estonie,40,17,22,19,1,1
Finlande,72,71,65,48,6,6
France,558,569,506,351,79,40
Grèce,107,130,108,79,9,12
Hongrie,95,74,58,41,6,6
Irlande,58,71,61,36,19,3
Italie,525,562,447,357,31,31
Lettonie,26,10,11,7,2,1
Lituanie,48,20,20,11,4,3
Luxembourg,13,11,12,10,1,1
Malte,2,3,3,2,0,0
Pays-Bas,224,229,206,162,18,11
Pologne,475,394,396,323,30,30
Portugal,62,86,68,44,7,6
Rép. tchèque,194,147,128,101,7,14
Roumanie,254,142,111,77,18,10
Royaume-Uni,819,750,604,466,49,34
Slovaquie,76,50,44,30,4,9
Slovénie,19,19,18,15,2,1
Suède,73,71,58,41,7,7